date,open,high,low,close,change,vwap,volume
2025-11-24 09:15:00,26133.35,26137.55,26082.30,26097.25,0.13,26105.70,13110000
2025-11-24 09:20:00,26096.95,26120.40,26091.15,26098.90,0.01,26104.99,6140000
2025-11-24 09:25:00,26099.25,26114.90,26098.20,26113.60,0.06,26105.68,4090000
2025-11-24 09:30:00,26115.10,26116.80,26090.25,26092.95,-0.08,26104.93,3530000
2025-11-24 09:35:00,26093.45,26093.90,26077.60,26088.10,-0.02,26102.85,3420000
2025-11-24 09:40:00,26088.40,26093.25,26074.05,26074.90,-0.05,26100.68,3300000
2025-11-24 09:45:00,26076.20,26097.45,26064.70,26095.70,0.08,26099.28,3530000
2025-11-24 10:35:00,26128.20,26142.80,26128.20,26137.45,0.03,26106.44,3340000
2025-11-24 10:40:00,26137.80,26141.75,26130.50,26130.95,-0.02,26107.44,2440000
2025-11-24 10:45:00,26131.90,26137.30,26126.85,26132.05,0.00,26108.20,2170000
2025-11-24 10:50:00,26131.80,26131.80,26113.30,26114.10,-0.07,26108.67,2990000
2025-11-24 10:55:00,26114.40,26115.30,26108.15,26108.40,-0.02,26108.75,2910000
2025-11-24 11:00:00,26108.60,26110.50,26094.40,26105.25,-0.01,26108.55,2950000
2025-11-24 11:05:00,26105.40,26106.35,26098.10,26099.75,-0.02,26108.33,2440000
2025-11-24 11:10:00,26100.60,26102.70,26094.95,26098.10,-0.01,26108.10,2020000
2025-11-24 11:15:00,26098.40,26098.40,26088.10,26093.50,-0.02,26107.68,2440000
2025-11-24 11:20:00,26093.95,26099.35,26092.75,26096.80,0.01,26107.41,2070000
2025-11-24 11:25:00,26097.10,26123.45,26096.40,26122.60,0.10,26107.59,2470000
2025-11-24 11:30:00,26122.20,26126.00,26118.65,26122.20,0.00,26108.00,2570000
2025-11-24 11:35:00,26122.05,26130.95,26117.95,26118.25,-0.02,26108.33,2230000
2025-11-24 11:40:00,26118.90,26122.25,26114.60,26117.15,0.00,26108.56,2280000
2025-11-24 11:45:00,26117.30,26117.30,26096.30,26097.65,-0.07,26108.43,2710000
2025-11-24 11:50:00,26098.15,26098.15,26068.30,26069.85,-0.11,26107.63,2780000
2025-11-24 11:55:00,26070.40,26079.10,26063.20,26077.40,0.03,26106.80,2560000
2025-11-24 12:00:00,26078.45,26089.50,26075.45,26083.85,0.02,26106.36,1980000
2025-11-24 12:05:00,26083.95,26085.85,26072.65,26072.90,-0.04,26105.70,2490000
2025-11-24 12:10:00,26073.45,26074.40,26065.60,26069.10,-0.01,26104.95,2340000
2025-11-24 12:15:00,26068.65,26082.10,26066.55,26077.45,0.03,26104.39,2180000
2025-11-24 12:20:00,26078.25,26089.35,26069.45,26073.65,-0.01,26103.80,2570000
2025-11-24 12:25:00,26073.35,26074.85,26059.30,26065.55,-0.03,26103.03,2480000
2025-11-24 12:30:00,26066.75,26080.10,26046.75,26077.60,0.05,26102.08,3350000
2025-11-24 12:35:00,26078.40,26083.85,26074.65,26077.05,0.00,26101.71,1970000
2025-11-24 12:40:00,26078.05,26080.85,26073.30,26078.00,0.00,26101.31,2100000
2025-11-24 12:45:00,26078.20,26088.20,26077.15,26085.30,0.03,26101.02,2090000
2025-11-24 12:50:00,26086.50,26093.30,26073.45,26074.85,-0.04,26100.74,1760000
2025-11-24 12:55:00,26075.90,26085.70,26068.30,26084.75,0.04,26100.48,1640000
2025-11-24 13:00:00,26085.70,26088.35,26071.75,26074.60,-0.04,26100.11,2270000
2025-11-24 13:05:00,26075.05,26090.30,26065.65,26083.90,0.04,26099.64,3230000
2025-11-24 13:10:00,26084.40,26092.95,26079.65,26080.60,-0.01,26099.45,1760000
2025-11-24 13:15:00,26081.80,26091.45,26078.20,26088.15,0.03,26099.25,2060000
2025-11-24 13:20:00,26089.00,26096.05,26089.00,26091.05,0.01,26099.16,1800000
2025-11-24 13:25:00,26093.35,26094.15,26077.55,26083.45,-0.03,26098.91,2560000
2025-11-24 13:30:00,26083.70,26083.70,26076.20,26079.20,-0.02,26098.67,1830000
2025-11-24 13:35:00,26079.50,26091.00,26070.45,26070.45,-0.03,26098.38,2090000
2025-11-24 13:40:00,26071.60,26088.40,26062.80,26086.55,0.06,26098.04,2680000
2025-11-24 13:45:00,26088.35,26090.05,26079.00,26080.70,-0.02,26097.85,1980000
2025-11-24 13:50:00,26081.80,26086.15,26074.50,26076.95,-0.01,26097.66,1590000
2025-11-24 13:55:00,26077.90,26083.25,26069.00,26069.55,-0.03,26097.42,1630000
2025-11-24 14:00:00,26069.90,26072.95,26049.40,26050.75,-0.07,26096.83,2390000
2025-11-24 14:05:00,26051.20,26053.05,26034.55,26035.60,-0.06,26095.60,3630000
2025-11-24 14:10:00,26036.20,26058.35,26036.20,26057.15,0.08,26094.82,2870000
2025-11-24 14:15:00,26054.65,26060.05,26039.55,26039.55,-0.07,26094.05,2700000
2025-11-24 14:20:00,26040.50,26040.90,26025.75,26026.55,-0.05,26093.06,2720000
2025-11-24 14:25:00,26027.75,26039.10,26026.15,26026.15,0.00,26092.25,2250000
2025-11-24 14:30:00,26027.30,26040.75,26026.00,26026.15,0.00,26091.33,2680000
2023-11-24 14:35:00,26026.80,26033.75,26018.75,26023.60,-0.01,26090.21,3060000
2023-11-24 14:40:00,26024.15,26036.85,26023.35,26025.70,0.01,26089.28,2750000
2023-11-24 14:45:00,26027.10,26038.90,26026.20,26029.65,0.02,26088.12,3760000
2023-11-24 14:50:00,26030.20,26039.05,26015.60,26019.75,-0.04,26086.78,4040000
2023-11-24 14:55:00,26020.65,26043.45,26019.85,26039.05,0.07,26085.61,4340000
2023-11-24 15:00:00,26039.80,26057.75,25977.20,25977.20,-0.24,26069.55,47890000
2023-11-24 15:05:00,25977.05,25977.45,25955.20,25964.55,-0.05,26053.85,43330000
2023-11-24 15:10:00,25964.90,25968.10,25952.30,25954.40,-0.04,26040.75,45480000
2023-11-24 15:15:00,25954.55,25960.65,25948.60,25980.95,-0.01,26029.91,47020000
2023-11-24 15:20:00,25951.40,25952.10,25927.55,25930.90,-0.08,26019.69,46760000
2023-11-24 15:25:00,25930.80,25952.25,25912.15,25943.35,0.05,26013.03,36780000
