Instrument,Date,Time,Open,High,Low,Close,VWAP,Range,ClosePercent
NFO:NIFTY2641323850PE,2026-04-10,10:45,92.15,93.95,91.2,92.9,110.17,2.75,61.82
NFO:NIFTY2641323850PE,2026-04-10,10:50,92.9,99.25,89.65,90.25,109.61,9.60,6.25
NFO:NIFTY2641323850PE,2026-04-10,10:55,90.25,93.6,87.15,91.5,108.89,6.45,67.44
NFO:NIFTY2641323850PE,2026-04-10,11:00,91.5,94.05,86.6,86.6,108.53,7.45,0.00
NFO:NIFTY2641323850PE,2026-04-10,11:05,86.6,88.15,83.65,85.85,108.08,4.50,48.89
NFO:NIFTY2641323850PE,2026-04-10,11:10,85.85,93.85,84.2,90.5,107.59,9.65,65.28
NFO:NIFTY2641323850PE,2026-04-10,11:15,90.5,93.05,87.75,91.0,107.08,5.30,61.32
NFO:NIFTY2641323850PE,2026-04-10,11:20,91.0,93.05,86.6,86.6,107.08,6.45,0.00
NFO:NIFTY2641323850PE,2026-04-10,11:25,86.6,93.75,86.2,93.35,106.75,7.55,94.70
NFO:NIFTY2641323850PE,2026-04-10,11:30,93.3,93.3,86.3,87.0,106.35,7.00,10.00
NFO:NIFTY2641323850PE,2026-04-10,11:35,87.0,95.25,86.3,93.3,106.01,8.95,78.21
NFO:NIFTY2641323850PE,2026-04-10,11:40,93.3,98.2,91.25,95.05,105.65,6.95,54.68
NFO:NIFTY2641323850PE,2026-04-10,11:45,95.05,106.05,92.3,101.7,105.35,13.75,68.36
NFO:NIFTY2641323850PE,2026-04-10,11:50,101.7,101.7,92.75,93.55,105.10,8.95,8.94
NFO:NIFTY2641323850PE,2026-04-10,11:55,93.05,95.75,89.8,91.0,104.86,5.95,20.17
NFO:NIFTY2641323850PE,2026-04-10,12:00,91.0,93.0,83.8,83.95,104.59,9.20,1.63
NFO:NIFTY2641323850PE,2026-04-10,12:05,83.95,86.0,82.15,83.7,104.09,3.85,40.26
NFO:NIFTY2641323850PE,2026-04-10,12:10,83.7,85.25,81.65,84.0,103.78,3.60,65.28
NFO:NIFTY2641323850PE,2026-04-10,12:15,84.0,87.9,83.25,85.3,103.43,4.65,44.09
NFO:NIFTY2641323850PE,2026-04-10,12:20,85.3,87.85,79.8,79.8,103.19,8.05,0.00
NFO:NIFTY2641323850PE,2026-04-10,12:25,79.65,85.1,77.6,82.15,102.60,7.50,60.67
NFO:NIFTY2641323850PE,2026-04-10,12:30,82.15,83.55,80.25,82.8,102.24,3.30,77.27
NFO:NIFTY2641323850PE,2026-04-10,12:35,82.8,82.8,80.0,80.55,102.01,2.80,19.64
NFO:NIFTY2641323850PE,2026-04-10,12:40,80.55,84.5,79.3,84.5,101.82,5.20,100.00
NFO:NIFTY2641323850PE,2026-04-10,12:45,84.5,85.8,80.65,82.95,101.61,5.15,44.66
NFO:NIFTY2641323850PE,2026-04-10,12:50,82.95,86.8,82.45,83.65,101.36,4.35,27.59
NFO:NIFTY2641323850PE,2026-04-10,12:55,84.1,86.15,81.6,82.55,101.12,4.55,20.88
NFO:NIFTY2641323850PE,2026-04-10,13:00,82.3,83.55,79.55,80.4,100.93,4.00,21.25
NFO:NIFTY2641323850PE,2026-04-10,13:05,80.4,82.75,78.3,79.5,100.77,4.45,26.97
NFO:NIFTY2641323850PE,2026-04-10,13:10,79.5,86.25,79.25,84.75,100.59,7.00,78.57
NFO:NIFTY2641323850PE,2026-04-10,13:15,84.75,86.0,81.25,85.2,100.41,4.75,83.16
NFO:NIFTY2641323850PE,2026-04-10,13:20,85.25,86.35,83.25,85.85,100.26,3.10,83.87
NFO:NIFTY2641323850PE,2026-04-10,13:25,86.25,86.5,81.55,81.9,100.11,4.95,7.07
NFO:NIFTY2641323850PE,2026-04-10,13:30,81.9,84.2,79.0,83.35,99.92,5.20,83.65
NFO:NIFTY2641323850PE,2026-04-10,13:35,83.35,85.25,79.5,79.8,99.73,5.75,5.22
NFO:NIFTY2641323850PE,2026-04-10,13:40,79.8,79.9,76.1,77.6,99.50,3.80,39.47
NFO:NIFTY2641323850PE,2026-04-10,13:45,77.6,80.9,75.2,80.0,99.16,5.70,84.21
NFO:NIFTY2641323850PE,2026-04-10,13:50,80.0,80.9,76.8,77.5,98.86,4.10,17.07
NFO:NIFTY2641323850PE,2026-04-10,13:55,77.6,78.1,69.75,72.0,98.65,8.35,26.95
NFO:NIFTY2641323850PE,2026-04-10,14:00,72.15,73.3,70.1,71.8,98.08,3.20,53.13
NFO:NIFTY2641323850PE,2026-04-10,14:05,72.0,72.8,70.5,71.2,97.80,2.30,30.43
NFO:NIFTY2641323850PE,2026-04-10,14:10,71.2,80.8,69.55,76.2,97.53,11.25,59.11
NFO:NIFTY2641323850PE,2026-04-10,14:15,76.2,99.0,76.2,86.6,96.79,22.80,45.61
NFO:NIFTY2641323850PE,2026-04-10,14:20,86.75,102.5,80.6,102.5,96.40,21.90,100.00
NFO:NIFTY2641323850PE,2026-04-10,14:25,102.75,106.65,98.35,100.15,96.49,8.30,21.69
NFO:NIFTY2641323850PE,2026-04-10,14:30,100.35,102.3,91.8,96.0,96.60,10.50,40.00
NFO:NIFTY2641323850PE,2026-04-10,14:35,96.0,104.65,92.85,97.85,96.63,11.80,42.37
NFO:NIFTY2641323850PE,2026-04-10,14:40,97.85,98.5,89.7,94.4,96.62,8.80,53.41
NFO:NIFTY2641323850PE,2026-04-10,14:45,93.85,100.95,78.15,82.05,96.57,22.80,17.11
NFO:NIFTY2641323850PE,2026-04-10,14:50,82.05,89.0,81.55,86.8,96.23,7.45,70.47
NFO:NIFTY2641323850PE,2026-04-10,14:55,86.6,88.2,83.25,86.85,96.06,4.95,72.73
NFO:NIFTY2641323850PE,2026-04-10,15:00,85.4,86.1,72.0,72.0,95.79,14.10,0.00
NFO:NIFTY2641323850PE,2026-04-10,15:05,72.25,72.25,64.3,66.3,95.25,7.95,25.16
NFO:NIFTY2641323850PE,2026-04-10,15:10,66.45,67.65,63.1,67.65,94.75,4.55,100.00
NFO:NIFTY2641323850PE,2026-04-10,15:15,67.85,72.25,67.55,72.05,94.31,4.70,95.74
NFO:NIFTY2641323850PE,2026-04-10,15:20,71.85,73.0,70.2,71.65,94.01,2.80,51.79
NFO:NIFTY2641323850PE,2026-04-10,15:25,71.85,72.55,68.55,70.95,93.70,4.00,60.00
NFO:NIFTY2641323850PE,2026-04-10,15:30,70.4,72.55,68.55,70.95,93.70,4.00,60.00

NFO:NIFTY2641323900PE,2026-04-10,10:45,109.75,111.7,108.9,110.6,129.39,2.80,60.71
NFO:NIFTY2641323900PE,2026-04-10,10:50,110.25,117.7,106.5,107.45,128.91,11.20,8.48
NFO:NIFTY2641323900PE,2026-04-10,10:55,107.45,110.9,103.7,108.7,128.16,7.20,69.44
NFO:NIFTY2641323900PE,2026-04-10,11:00,108.7,111.45,103.15,103.2,127.79,8.30,0.60
NFO:NIFTY2641323900PE,2026-04-10,11:05,103.2,105.25,99.85,102.45,127.37,5.40,48.15
NFO:NIFTY2641323900PE,2026-04-10,11:10,102.45,111.5,100.55,107.55,126.89,10.95,63.93
NFO:NIFTY2641323900PE,2026-04-10,11:15,107.55,110.7,104.55,108.35,126.42,6.15,61.79
NFO:NIFTY2641323900PE,2026-04-10,11:20,108.35,111.45,103.0,111.4,126.12,8.45,99.41
NFO:NIFTY2641323900PE,2026-04-10,11:25,111.6,111.6,103.25,104.15,125.68,8.35,10.78
